,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
5102,1/15/2021,5:00,N,SPP_MEAN,7.882012071
5117,1/15/2021,6:00,N,SPP_MEAN,4.035760747
5132,1/15/2021,7:00,N,SPP_MEAN,4.278727182
5147,1/15/2021,8:00,N,SPP_MEAN,2.863191573
5162,1/15/2021,9:00,N,SPP_MEAN,2.808729685
5177,1/15/2021,10:00,N,SPP_MEAN,4.710353316
5192,1/15/2021,11:00,N,SPP_MEAN,8.730472713
5207,1/15/2021,12:00,N,SPP_MEAN,15.45210415
5222,1/15/2021,13:00,N,SPP_MEAN,23.85829599
5237,1/15/2021,14:00,N,SPP_MEAN,27.62828772
5252,1/15/2021,15:00,N,SPP_MEAN,25.38556692
5267,1/15/2021,16:00,N,SPP_MEAN,23.71967164
5282,1/15/2021,17:00,N,SPP_MEAN,21.88952695
5297,1/15/2021,18:00,N,SPP_MEAN,19.64853342
5312,1/15/2021,19:00,N,SPP_MEAN,17.20335026
5327,1/15/2021,20:00,N,SPP_MEAN,16.91295451
5342,1/15/2021,21:00,N,SPP_MEAN,14.8943338
5357,1/15/2021,22:00,N,SPP_MEAN,14.45259966
5372,1/15/2021,23:00,N,SPP_MEAN,18.00773329
5387,1/15/2021,24:00:00,N,SPP_MEAN,22.35031178
5402,1/16/2021,1:00,N,SPP_MEAN,22.7968303
5417,1/16/2021,2:00,N,SPP_MEAN,20.32356147
5432,1/16/2021,3:00,N,SPP_MEAN,19.52162448
5447,1/16/2021,4:00,N,SPP_MEAN,17.67294333
5462,1/16/2021,5:00,N,SPP_MEAN,18.26098008
5477,1/16/2021,6:00,N,SPP_MEAN,16.74871569
5492,1/16/2021,7:00,N,SPP_MEAN,20.7658202
5507,1/16/2021,8:00,N,SPP_MEAN,23.18912718
5522,1/16/2021,9:00,N,SPP_MEAN,22.8956326
5537,1/16/2021,10:00,N,SPP_MEAN,23.35179379
5552,1/16/2021,11:00,N,SPP_MEAN,24.92117164
5567,1/16/2021,12:00,N,SPP_MEAN,27.86263275
5582,1/16/2021,13:00,N,SPP_MEAN,29.36540733
5597,1/16/2021,14:00,N,SPP_MEAN,31.43533063
5612,1/16/2021,15:00,N,SPP_MEAN,35.94630931
5627,1/16/2021,16:00,N,SPP_MEAN,38.16261506
5642,1/16/2021,17:00,N,SPP_MEAN,36.18119917
5657,1/16/2021,18:00,N,SPP_MEAN,30.98261505
5672,1/16/2021,19:00,N,SPP_MEAN,24.97993704
5687,1/16/2021,20:00,N,SPP_MEAN,22.64536482
5702,1/16/2021,21:00,N,SPP_MEAN,19.87254425
5717,1/16/2021,22:00,N,SPP_MEAN,19.91382813
5732,1/16/2021,23:00,N,SPP_MEAN,22.44528862
5747,1/16/2021,24:00:00,N,SPP_MEAN,29.04076554
5762,1/17/2021,1:00,N,SPP_MEAN,26.95477151
5777,1/17/2021,2:00,N,SPP_MEAN,23.12095527
5792,1/17/2021,3:00,N,SPP_MEAN,20.53990883
5807,1/17/2021,4:00,N,SPP_MEAN,18.65362282
5822,1/17/2021,5:00,N,SPP_MEAN,17.2422856
5837,1/17/2021,6:00,N,SPP_MEAN,15.59788046
5852,1/17/2021,7:00,N,SPP_MEAN,15.49242503
5867,1/17/2021,8:00,N,SPP_MEAN,15.05077676
5882,1/17/2021,9:00,N,SPP_MEAN,13.41611132
5897,1/17/2021,10:00,N,SPP_MEAN,11.33128549
5912,1/17/2021,11:00,N,SPP_MEAN,11.46552077
5927,1/17/2021,12:00,N,SPP_MEAN,12.88069624
5942,1/17/2021,13:00,N,SPP_MEAN,15.34005252
5957,1/17/2021,14:00,N,SPP_MEAN,18.19230109
5972,1/17/2021,15:00,N,SPP_MEAN,20.38768933
5987,1/17/2021,16:00,N,SPP_MEAN,22.44269739
6002,1/17/2021,17:00,N,SPP_MEAN,20.14513332
6017,1/17/2021,18:00,N,SPP_MEAN,17.28343609
6032,1/17/2021,19:00,N,SPP_MEAN,16.602704
6047,1/17/2021,20:00,N,SPP_MEAN,17.73721354
6062,1/17/2021,21:00,N,SPP_MEAN,19.08541068
6077,1/17/2021,22:00,N,SPP_MEAN,19.61390092
