,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group,Temperature Band
0,ELLIS,48139,1005344,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,1100,Iron and Steel Mills,Iron and Steel Mills_1005344,2356.875996,2356.875996,0.11865246800000001,654688.3004168881,74.73610735352604,NG_Type,850+ C
0,ELLIS,48139,1005344,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,180,Iron and Steel Mills,Iron and Steel Mills_1005344,243.54131579999998,243.54131579999998,0.012260627,67650.4196202924,7.72265064158589,NG_Type,100-300 C
0,GUADALUPE,48187,1004259,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,1100,Iron and Steel Mills,Iron and Steel Mills_1004259,781.9578632,781.9578632,0.039366191,217210.69132396963,24.795741018717994,NG_Type,850+ C
0,GUADALUPE,48187,1004259,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,180,Iron and Steel Mills,Iron and Steel Mills_1004259,117.91428096,117.91428096,0.005936172,32753.993136506884,3.7390403123866305,NG_Type,100-300 C
0,LEON,48289,1005832,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,1100,Iron and Steel Mills,Iron and Steel Mills_1005832,926.0305645999999,926.0305645999999,0.046619259,257230.9181734588,29.364260065463334,NG_Type,850+ C
0,LEON,48289,1005832,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,180,Iron and Steel Mills,Iron and Steel Mills_1005832,139.63952959,139.73938086100003,0.007036908,38816.52573680686,4.431110243927725,NG_Type,100-300 C
0,GREGG,48183,1002769,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,1100,Iron and Steel Mills,Iron and Steel Mills_1002769,431.42412419999994,431.42412419999994,0.021719232,119840.13037202759,13.680380179455204,NG_Type,850+ C
0,GREGG,48183,1002769,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,180,Iron and Steel Mills,Iron and Steel Mills_1002769,65.05601873,65.05601873,0.0032751230000000004,18071.13077078194,2.0629144715504495,NG_Type,100-300 C
0,ORANGE,48361,1007348,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,1100,Iron and Steel Mills,Iron and Steel Mills_1007348,849.4060881000001,849.4060881000001,0.042761744000000004,235946.32434024184,26.93451191098651,NG_Type,850+ C
0,ORANGE,48361,1007348,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,180,Iron and Steel Mills,Iron and Steel Mills_1007348,128.08504503,128.08504503,0.0064482,35579.207638343345,4.0615533833725275,NG_Type,100-300 C
0,EL PASO,48141,1003580,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,1100,Iron and Steel Mills,Iron and Steel Mills_1003580,322.83077086000003,322.83077086000003,0.016252308,89675.28586794907,10.236904779446244,NG_Type,850+ C
0,EL PASO,48141,1003580,331111,Natural Gas (Weighted U.S. Average),331111,2015,TX,180,Iron and Steel Mills,Iron and Steel Mills_1003580,48.680830527999994,48.680830527999994,0.002450745,13522.463742406784,1.5436602445669845,NG_Type,100-300 C
0,JEFFERSON,48245,1002146,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1002146,12.043989994,10569.203696894001,0.59351499,2935892.2645158223,335.1475187803449,NG_Type,100-300 C
0,JEFFERSON,48245,1002146,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1002146,25.88559044,2379.18434844,0.13346855900000001,660885.0699409664,75.44350113481352,NG_Type,850+ C
0,JEFFERSON,48245,1006543,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1006543,9.592689393,12131.852548231,0.681290352,3369961.7371425107,384.6988284409259,NG_Type,100-300 C
0,JEFFERSON,48245,1006543,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1006543,501.68996556,16581.20945742,0.928310724,4605895.200663214,525.7871233633806,NG_Type,850+ C
0,JEFFERSON COUNTY,48245,1007909,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1007909,9609.91085294,17142.739176739997,0.9068496930000001,4761875.803036484,543.5931282005117,NG_Type,100-300 C
0,JEFFERSON COUNTY,48245,1007909,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1007909,1847.6315949200002,3526.77598922,0.187319224,979660.7807335533,111.83342245816816,NG_Type,850+ C
0,HARRIS,48201,1002758,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1002758,339.84637,1307.7316263999999,0.071467062,363259.07571813924,41.467931018052425,NG_Type,100-300 C
0,HARRIS,48201,1002758,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1002758,730.4160787999999,18316.83915,1.0244558719999999,5088014.9454087,580.8236239051026,NG_Type,850+ C
0,GALVESTON,48167,1004957,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1004957,144.496161576,406.503771876,0.021989186,112917.80474417153,12.89016035892369,NG_Type,100-300 C
0,GALVESTON,48167,1004957,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1004957,310.55891447100004,368.96308767100004,0.018914628,102489.82856707505,11.699752119529116,NG_Type,850+ C
0,HARRIS,48201,1002859,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1002859,26.680955933,26.680955933,0.001343203,7411.382577156874,0.8460482394014697,NG_Type,100-300 C
0,HARRIS,48201,1002859,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1002859,178.30727074899997,33539.522634032,1.8826011109999994,9316541.518236142,1063.5321367849474,NG_Type,850+ C
0,HARRIS,48201,1007562,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1007562,656.2719028200002,656.2719028200002,0.033038769,182297.89662153402,20.810262171407988,NG_Type,100-300 C
0,HARRIS,48201,1007562,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1007562,3017.2840933810003,6439.679059581,0.34410718700000004,1788801.1698122914,204.20104678222503,NG_Type,850+ C
0,HARRIS COUNTY,48201,1006275,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1006275,6513.5606121,7263.2626603,0.370017487,2017574.5752528138,230.31673233479606,NG_Type,100-300 C
0,HARRIS COUNTY,48201,1006275,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1006275,664.1438318,3987.9327298000003,0.220104897,1107759.9778183848,126.45661847241831,NG_Type,850+ C
0,HARRIS COUNTY,48201,1003991,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1003991,12.005399323999999,13030.141347224,0.7317258030000001,3619486.603149188,413.18340218598047,NG_Type,100-300 C
0,HARRIS COUNTY,48201,1003991,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1003991,1079.7369123899998,4131.368774889999,0.22574232700000002,1147603.3555513944,131.0049492638578,NG_Type,850+ C
0,NUECES,48355,1004389,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1004389,190.49888527000002,190.49888527000002,0.009590307,52916.39935253006,6.040684857594756,NG_Type,100-300 C
0,NUECES,48355,1004389,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1004389,409.43043989999995,409.43043989999995,0.020612002,113730.7687345422,12.982964467413494,NG_Type,850+ C
0,HARRIS,48201,1002076,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1002076,485.25813496,485.25813496,0.024429403000000002,134794.0342129189,15.387446827958778,NG_Type,100-300 C
0,HARRIS,48201,1002076,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1002076,5093.693497823,5093.693497823,0.25643237399999996,1414915.9924382772,161.52009046099056,NG_Type,850+ C
0,HARRIS,48201,1002613,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1002613,352.69553063499995,352.69553063499995,0.01775578,97971.05910872904,11.183910857160848,NG_Type,100-300 C
0,HARRIS,48201,1002613,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1002613,758.032185146,758.032185146,0.038161659,210564.6643254856,24.037062137612512,NG_Type,850+ C
0,HARRIS,48201,1005198,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1005198,3401.6868139999997,3401.6868139999997,0.171251495,944913.759819292,107.86686755927991,NG_Type,100-300 C
0,HARRIS,48201,1005198,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1005198,7311.088078,7311.088078,0.36806291399999996,2030859.424130684,231.83326759482694,NG_Type,850+ C
0,HARDIN,48199,1004829,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1004829,393.3626445,393.3626445,0.019803099,109267.488663921,12.473457610036645,NG_Type,100-300 C
0,HARDIN,48199,1004829,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1004829,845.4361316,845.4361316,0.042561885,234843.5577635848,26.808625315477716,NG_Type,850+ C
0,BRAZORIA COUNTY,48039,1001870,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1001870,447.21249050000006,447.21249050000006,0.022514067999999998,124225.79118610904,14.181026391108338,NG_Type,100-300 C
0,BRAZORIA COUNTY,48039,1001870,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1001870,961.173114,961.173114,0.048388444,266992.745260692,30.47862388820685,NG_Type,850+ C
0,HARRIS,48201,1005675,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1005675,286.99935288,286.99935288,0.01444844,79722.10624430065,9.100697059851672,NG_Type,100-300 C
0,HARRIS,48201,1005675,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,875,Petrochemicals,Petrochemicals_1005675,616.83443,616.83443,0.031053364,171343.03429654002,19.55970711147717,NG_Type,850+ C
0,HARRIS,48201,1006797,325110,Natural Gas (Weighted U.S. Average),325110,2015,TX,220,Petrochemicals,Petrochemicals_1006797,309.89736573100004,309.89736573100004,0.015601192,86082.67045802572,9.826788865071428,NG_Type,100-300 C
