,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410
154,1,0,10,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
155,1,0,11,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
156,1,0,12,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
157,1,0,13,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
158,1,0,14,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
159,1,0,15,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
160,1,0,16,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
161,1,0,17,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
162,1,0,18,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
163,1,0,19,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
164,1,0,20,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
165,1,0,21,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
166,1,0,22,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
167,1,0,23,1,0.76582974,0.76786304,1,1,0.73333335,0.7795272,0.71133333,1,1,1
168,1,1,0,1,0.7621441999999999,0.7633575,1,1,0.46666667,0.76413876,0.45266667,1,1,1
169,1,1,1,1,0.7584586999999999,0.7588520000000001,1,1,0.2,0.74875027,0.194,1,1,1
170,1,1,2,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
171,1,1,3,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
172,1,1,4,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
173,1,1,5,1,0.7584586999999999,0.7588520000000001,1,1,0.46666667,0.74875027,0.45266667,1,1,1
174,1,1,6,1,0.7621441999999999,0.7633575,1,1,0.73333335,0.76413876,0.71133333,1,1,1
175,1,1,7,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
176,1,1,8,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
177,1,1,9,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
178,1,1,10,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
179,1,1,11,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
180,1,1,12,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
181,1,1,13,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
182,1,1,14,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
183,1,1,15,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
184,1,1,16,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
185,1,1,17,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
186,1,1,18,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
187,1,1,19,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
188,1,1,20,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
189,1,1,21,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
190,1,1,22,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
191,1,1,23,1,0.76582974,0.76786304,1,1,0.73333335,0.7795272,0.71133333,1,1,1
192,1,2,0,1,0.7621441999999999,0.7633575,1,1,0.46666667,0.76413876,0.45266667,1,1,1
193,1,2,1,1,0.7584586999999999,0.7588520000000001,1,1,0.2,0.74875027,0.194,1,1,1
194,1,2,2,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
195,1,2,3,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
196,1,2,4,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
197,1,2,5,1,0.7584586999999999,0.7588520000000001,1,1,0.46666667,0.74875027,0.45266667,1,1,1
